"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_yds","return_yds_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Javonte Williams","DAL","RB","15256","robust",NA,NA,NA,NA,NA,NA,256.8,16.3086,1172.5,75.6126,10.5,0.7413,1.8,0,0,NA,0,NA,35,5.04084,188,20.7564,1.5,0.14826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2000-04-25,NA,NA,NA,NA
"Quinshon Judkins","CLE","RB","17051","robust",NA,NA,NA,NA,NA,NA,278,13.3434,1070,210.5292,7.55,1.33434,0.5,0,0,NA,0,NA,36.15,2.9652,241.5,23.7216,1,1.18608,92,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-10-29,NA,NA,NA,NA
"Josh Jacobs","GB","RB","14073","robust",NA,NA,NA,NA,NA,NA,284,4.4478,1155,121.5732,12.5,0.59304,1.45,0,0,NA,0,NA,36,1.4826,285.5,19.2738,1.05,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1998-02-11,NA,NA,NA,NA
"Kenneth Walker III","KC","RB","15711","robust",NA,NA,NA,NA,NA,NA,257.5,19.2738,1160,83.0256,8.8,2.9652,0.7,0,0,NA,0,NA,43.55,2.9652,334,17.7912,1.8,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2000-10-20,NA,NA,NA,NA
"Omarion Hampton","LAC","RB","17044","robust",NA,NA,NA,NA,NA,NA,257,19.2738,1085,154.1904,9.95,1.4826,0.5,0,0,NA,0,NA,52.05,5.9304,342.5,40.0302,2,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-03-16,NA,NA,NA,NA
"Jeremiyah Love","ARI","RB","17472","robust",NA,NA,NA,NA,NA,NA,234.5,31.1346,1071,102.2994,7.25,1.4826,1.85,0,0,NA,0,NA,54,4.4478,408.5,23.7216,2,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2005-05-31,NA,NA,NA,NA
"Travis Etienne","NO","RB","15253","robust",NA,NA,NA,NA,NA,NA,251.5,12.00906,1047.5,142.3296,6,1.4826,0.65,0,0,NA,0,NA,43,2.9652,332,34.0998,2.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-01-26,NA,NA,NA,NA
"Kyren Williams","LAR","RB","15710","robust",NA,NA,NA,NA,NA,NA,245.1,8.8956,1144,8.8956,10,0,1.95,0,0,NA,0,NA,33.2,1.4826,237,13.3434,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2000-08-26,NA,NA,NA,NA
"Breece Hall","NYJ","RB","15708","robust",NA,NA,NA,NA,NA,NA,251,14.826,1130,16.3086,6.5,1.4826,1.7,0,0,NA,0,NA,47,7.413,415.5,22.239,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2001-05-31,NA,NA,NA,NA
"Christian McCaffrey","SF","RB","13130","robust",NA,NA,NA,NA,NA,NA,265.2,12.45384,1093.6,55.4492400000001,8.7,0.444780000000001,0.975,0.0741299999999999,0,NA,0,NA,78.4,0.889559999999991,691.025,13.49166,4.8,0.59304,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1996-06-07,NA,NA,NA,NA
"Chase Brown","CIN","RB","16181","robust",NA,NA,NA,NA,NA,NA,239.55,3.85475999999999,1041.875,37.8063,7.5,0.7413,0.9625,0.111195,0,NA,0,NA,64.7,1.03782,432.375,6.6717,4,0.14826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-03-21,NA,NA,NA,NA
"Bucky Irving","TB","RB","16598","robust",NA,NA,NA,NA,NA,NA,252,13.3434,1025,45.9606,6,1.4826,1,0,0,NA,0,NA,42.5,6.07866,358,74.13,2.15,0,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-19,NA,NA,NA,NA
"D'Andre Swift","CHI","RB","14797","robust",NA,NA,NA,NA,NA,NA,222.9,14.97426,1003,68.1996,7.9,1.33434,0.8,0,0,NA,0,NA,32.65,1.4826,286.5,19.2738,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1999-01-14,NA,NA,NA,NA
"Tony Pollard","TEN","RB","14085","robust",NA,NA,NA,NA,NA,NA,237,21.34944,1034,63.7518,5.5,0.59304,2.6,0,0,NA,0,NA,32,2.9652,204,23.7216,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-04-30,NA,NA,NA,NA
"Jadarian Price","SEA","RB","17473","robust",NA,NA,NA,NA,NA,NA,211.5,41.5128,907.5,127.5036,8,1.4826,1.7,0,0,NA,0,NA,24.5,3.7065,192.5,20.7564,0.5,0,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-09,NA,NA,NA,NA
"J.K. Dobbins","DEN","RB","14800","robust",NA,NA,NA,NA,NA,NA,203.35,34.0998,954.5,108.2298,6,1.4826,0.7,0,0,NA,0,NA,21.65,5.9304,119.5,45.9606,0.5,0.7413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-12-17,NA,NA,NA,NA
"TreVeyon Henderson","NE","RB","17043","robust",NA,NA,NA,NA,NA,NA,195.25,3.7065,902,19.2738,7.5,0.7413,0.75,0,0,NA,0,NA,39.5,2.9652,276,37.065,1.5,0.14826,205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-10-22,NA,NA,NA,NA
"Cam Skattebo","NYG","RB","17045","robust",NA,NA,NA,NA,NA,NA,234.5,19.2738,1000.5,28.1694,8,1.4826,1.85,0,0,NA,0,NA,47,3.55824,379.5,5.9304,2.75,0,68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-02-05,NA,NA,NA,NA
"Bhayshul Tuten","JAC","RB","17052","robust",NA,NA,NA,NA,NA,NA,232.5,10.3782,967.5,90.4386,8.05,1.4826,1.65,0,0,NA,0,NA,32,10.3782,235.5,99.3342,2.3,1.4826,91,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-02-14,NA,NA,NA,NA
"David Montgomery","HOU","RB","14071","robust",NA,NA,NA,NA,NA,NA,230,5.1891,939,19.2738,7.5,0.44478,0.85,0,0,NA,0,NA,31,0.444780000000001,231,19.2738,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-06-07,NA,NA,NA,NA
"Rico Dowdle","PIT","RB","14823","robust",NA,NA,NA,NA,NA,NA,204.5,22.239,887,72.6474,5.5,0.889559999999999,1.2,0,0,NA,0,NA,33.5,5.48562,248,56.3388,1.5,0.29652,354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-06-14,NA,NA,NA,NA
"Jordan Mason","MIN","RB","15972","robust",NA,NA,NA,NA,NA,NA,171,29.652,808.5,111.195,6,1.03782,0.75,0,0,NA,0,NA,15.5,3.85476,82,29.652,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-05-24,NA,NA,NA,NA
"Jaylen Warren","PIT","RB","15742","robust",NA,NA,NA,NA,NA,NA,187,9.19211999999998,822,66.717,4.8,0.889559999999999,0.5,0,0,NA,0,NA,43.4,2.9652,324,7.413,1.65,0,219,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-11-01,NA,NA,NA,NA
"Chuba Hubbard","CAR","RB","15261","robust",NA,NA,NA,NA,NA,NA,200.5,13.78818,821,22.239,5.7,1.4826,1.65,0,0,NA,0,NA,34.5,1.4826,239,23.7216,1.5,0,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-06-11,NA,NA,NA,NA
"Jacory Croskey-Merritt","WAS","RB","17256","robust",NA,NA,NA,NA,NA,NA,176,11.8608,794,77.0952,7,1.18608,1.6,0,0,NA,0,NA,12.1,1.63086,82,7.413,0,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2001-04-12,NA,NA,NA,NA
"Kyle Monangai","CHI","RB","17066","robust",NA,NA,NA,NA,NA,NA,184,11.8608,802,35.5824,4.95,1.4826,0.5,0,0,NA,0,NA,23.3,4.4478,201,20.7564,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-06-06,NA,NA,NA,NA
"Jonathon Brooks","CAR","RB","16597","robust",NA,NA,NA,NA,NA,NA,156,12.15732,696.5,155.673,4,0,1.95,0,0,NA,0,NA,26.65,9.34038,189,20.7564,0.5,0,332,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2003-07-21,NA,NA,NA,NA
"Blake Corum","LAR","RB","16593","robust",NA,NA,NA,NA,NA,NA,161.3,3.40998000000002,778,47.4432,6,1.4826,0.5,0,0,NA,0,NA,13,2.52042,89,16.3086,0,0,258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-11-25,NA,NA,NA,NA
"Rhamondre Stevenson","NE","RB","15259","robust",NA,NA,NA,NA,NA,NA,168,6.52344000000001,733,19.2738,6.5,0.44478,2.65,0,0,NA,0,NA,36.55,1.4826,308,45.9606,2,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-02-23,NA,NA,NA,NA
"Aaron Jones","MIN","RB","13319","robust",NA,NA,NA,NA,NA,NA,156.5,9.93341999999998,671,65.2344,3.3,1.03782,1.85,0,0,NA,0,NA,37,5.78214,268,77.0952,1.5,0.14826,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1994-12-02,NA,NA,NA,NA
"RJ Harvey","DEN","RB","17068","robust",NA,NA,NA,NA,NA,NA,135,34.24806,528,74.13,5,1.33434,0.8,0,0,NA,0,NA,47.35,2.9652,347.5,29.652,3.8,0,321,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2001-02-04,NA,NA,NA,NA
"Woody Marks","HOU","RB","17053","robust",NA,NA,NA,NA,NA,NA,144.5,10.3782,569,25.2042,2.65,0,0.95,0,0,NA,0,NA,24,4.4478,201,34.0998,1.5,0.7413,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2000-12-29,NA,NA,NA,NA
"Rachaad White","WAS","RB","15721","robust",NA,NA,NA,NA,NA,NA,136.8,7.413,567,17.7912,4.2,1.4826,0.7,0,0,NA,0,NA,38.2,7.413,247,87.4734,1.5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-01-12,NA,NA,NA,NA
"Chris Rodriguez","JAC","RB","16174","robust",NA,NA,NA,NA,NA,NA,117,21.34944,514,78.5778,4,1.4826,0.5,0,0,NA,0,NA,7,2.9652,50,19.2738,0,0,276,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1999-09-26,NA,NA,NA,NA
"Isiah Pacheco","DET","RB","15749","robust",NA,NA,NA,NA,NA,NA,134.5,7.70952,554.5,62.2692,3,1.18608,0.5,0,0,NA,0,NA,21.5,4.4478,139,31.1346,0.75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-03-02,NA,NA,NA,NA
"Zach Charbonnet","SEA","RB","16169","robust",NA,NA,NA,NA,NA,NA,128.35,13.3434,537,44.478,6.35,2.9652,0.5,0,0,NA,0,NA,19,1.4826,145,23.7216,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-01-08,"O","Knee - ACL",2026,0
"Tyrone Tracy","NYG","RB","16747","robust",NA,NA,NA,NA,NA,NA,127,4.4478,517.5,28.1694,2.5,0.44478,0.55,0,0,NA,0,NA,28,5.9304,216,42.9954,1.5,0.29652,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1999-11-23,NA,NA,NA,NA
"Emari Demercado","KC","RB","16385","robust",NA,NA,NA,NA,NA,NA,51,10.67472,241,29.652,1,0,1.75,0,0,NA,0,NA,15.5,2.9652,108,32.6172,0.5,0.44478,185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1999-01-20,NA,NA,NA,NA
"Kaelon Black","SF","RB","17485","robust",NA,NA,NA,NA,NA,NA,59.5,32.91372,250.5,130.4688,1.5,1.4826,1,0,0,NA,0,NA,7.5,5.9304,54.5,41.5128,0,0,226,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2001-10-17,"Q","Thigh",2026,0
"Brian Robinson","ATL","RB","15716","robust",NA,NA,NA,NA,NA,NA,116,5.33735999999999,497,51.891,4,1.4826,0.8,0,0,NA,0,NA,9,1.77912,58,5.9304,0,0,225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-03-22,NA,NA,NA,NA
"Malik Davis","DAL","RB","15738","robust",NA,NA,NA,NA,NA,NA,69.7,32.46894,324.5,149.7426,2.3,1.63086,0.3,0.22239,0,NA,0,NA,6.35,4.74432,44.25,32.6172,0,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-11-26,NA,NA,NA,NA
"Alvin Kamara","NO","RB","13132","robust",NA,NA,NA,NA,NA,NA,121,11.8608,464,57.8214,2,0,1.3,0,0,NA,0,NA,33,2.9652,213.5,44.478,1,0,119,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-07-25,NA,NA,NA,NA
"Chris Brooks","GB","RB","16387","robust",NA,NA,NA,NA,NA,NA,37.3,22.68378,162,93.4038,1,0,0.95,0,0,NA,0,NA,13.75,1.4826,97,14.826,0,0,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-01-11,"O","Hamstring",2026,0
"Kenneth Gainwell","TB","RB","15255","robust",NA,NA,NA,NA,NA,NA,109,12.00906,480.5,51.891,3.5,0.7413,0.8,0,0,NA,0,NA,48.5,11.8608,342,99.3342,2,0,413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-03-14,NA,NA,NA,NA
"Emanuel Wilson","SEA","RB","16432","robust",NA,NA,NA,NA,NA,NA,69.5,37.95456,290,189.7728,1.3,1.92738,0.5,0,0,NA,0,NA,7.5,2.9652,52,29.652,0,0,241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1999-05-08,NA,NA,NA,NA
"Kimani Vidal","LAC","RB","16757","robust",NA,NA,NA,NA,NA,NA,76.5,26.6868,310.5,90.4386,2,0,0,0,0,NA,0,NA,12.5,3.40998,105,42.9954,0.1,0,225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-08-28,NA,NA,NA,NA
"AJ Dillon","CAR","RB","14805","robust",NA,NA,NA,NA,NA,NA,62.2,80.35692,257,324.6894,1.75,1.4826,2.8,3.26172,0,NA,0,NA,8.75,10.3782,75.75,84.5082,0.25,0,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-05-02,NA,NA,NA,NA
"Keaton Mitchell","LAC","RB","16178","robust",NA,NA,NA,NA,NA,NA,73.5,24.90768,345,189.7728,2,0,0.5,0,0,NA,0,NA,13.5,2.81694,97.5,44.478,0,0,411,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-01-17,NA,NA,NA,NA
"Jordan James","SF","RB","17055","robust",NA,NA,NA,NA,NA,NA,68,13.3434,290,51.891,1.5,0.44478,1,0,0,NA,0,NA,15.2,10.67472,119,83.0256,0.5,0,129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2004-03-29,"Q","Ribs",2026,0
"Tank Bigsby","PHI","RB","16164","robust",NA,NA,NA,NA,NA,NA,92.5,7.413,425,31.1346,3,0,0.3,0,0,NA,0,NA,6,2.9652,47.5,2.9652,0,0,158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-08-30,NA,NA,NA,NA
"Tyler Allgeier","ARI","RB","15712","robust",NA,NA,NA,NA,NA,NA,111.5,14.826,428.5,59.304,4,1.33434,0.5,0,0,NA,0,NA,19.5,2.9652,134.5,28.1694,0,0,64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2000-04-15,NA,NA,NA,NA
"George Holani","SEA","RB","16608","robust",NA,NA,NA,NA,NA,NA,53.25,26.83506,215.75,117.8667,2,0.7413,0.7,0,0,NA,0,NA,8.75,2.2239,65,11.8608,0,0,370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1999-12-16,NA,NA,NA,NA
"Samaje Perine","CIN","RB","13133","robust",NA,NA,NA,NA,NA,NA,83,12.45384,361.5,37.065,2.5,0.59304,2.25,0,0,NA,0,NA,17.9,1.63086,129,16.3086,0.5,0,346,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-16,NA,NA,NA,NA
"Adam Randall","BAL","RB","17652","robust",NA,NA,NA,NA,NA,NA,39.05,30.98634,164.5,130.4688,1,0.7413,0.5,0.37065,0,NA,0,NA,9,9.6369,83,91.1799,0.75,0.7413,316,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2004-07-14,NA,NA,NA,NA
"Braelon Allen","NYJ","RB","16596","robust",NA,NA,NA,NA,NA,NA,91,11.8608,372,35.5824,3,1.4826,1.65,0,0,NA,0,NA,13,0.59304,98,11.8608,0.1,0,93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2004-01-20,NA,NA,NA,NA
"Jonah Coleman","DEN","RB","17477","robust",NA,NA,NA,NA,NA,NA,56.05,25.2042,255,111.195,1,0,0.3,0,0,NA,0,NA,10.4,10.08168,84.5,94.8864,0,0,248,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-08-20,NA,NA,NA,NA
"Kaleb Johnson","PIT","RB","17048","robust",NA,NA,NA,NA,NA,NA,31.625,17.42055,104.5,55.5975,0,0,0,0,0,NA,0,NA,5.15,2.79223,33,18.0383,0,0,225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-08-14,NA,NA,NA,NA
"Devin Singletary","NYG","RB","14080","robust",NA,NA,NA,NA,NA,NA,66.35,55.89402,246.5,189.7728,2.375,1.4826,0,0,0,NA,0,NA,10.55,8.8956,80.75,60.7866,0,0,402,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-09-03,NA,NA,NA,NA
"Tyjae Spears","TEN","RB","16165","robust",NA,NA,NA,NA,NA,NA,93,7.413,377.5,42.9954,3,1.4826,0.5,0,0,NA,0,NA,48.5,4.4478,317.5,13.3434,1,0,132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-06-15,NA,NA,NA,NA
"James Conner","ARI","RB","13146","robust",NA,NA,NA,NA,NA,NA,63,NA,307,66.717,1.9836643463209,0.568820759855373,0.25,0,0,NA,0,NA,19.65,11.34189,142.25,77.46585,0.7,0.899699930441373,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-05-05,"Q","Foot",2026,0
"Nicholas Singleton","TEN","RB","17476","robust",NA,NA,NA,NA,NA,NA,19,9.34038,78.25,48.9258,0.75,0.7413,0,0,0,NA,0,NA,3.5,2.9652,25.25,22.239,0,0,163,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2004-01-06,NA,NA,NA,NA
"Sean Tucker","TB","RB","16166","robust",NA,NA,NA,NA,NA,NA,58.9,22.09074,237,80.0604,3,0,0,0,0,NA,0,NA,6.6,6.81996,55,63.7518,0,0,399,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-25,NA,NA,NA,NA
"Jaylen Wright","MIA","RB","16610","robust",NA,NA,NA,NA,NA,NA,80,27.57636,319.5,37.065,2,0,1.6,0,0,NA,0,NA,9,2.9652,73,28.1694,0,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2003-04-01,NA,NA,NA,NA
"Jawhar Jordan","HOU","RB","16773","robust",NA,NA,NA,NA,NA,NA,43.8,28.46592,149.5,85.9908,0,0,0.5,0.37065,0,NA,0,NA,9.15,5.38678,63,42.007,0.10645472061657,0.105219845857418,124,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1999-08-18,NA,NA,NA,NA
"Mike Washington Jr.","LVR","RB","17482","robust",NA,NA,NA,NA,NA,NA,88,4.4478,349,22.239,2,0,0.95,0,0,NA,0,NA,17.6,14.826,121.5,87.4734,0,0,962,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-07-03,NA,NA,NA,NA
"Alexander Mattison","MIA","RB","14223","robust",NA,NA,NA,NA,NA,NA,59.65,50.92731,212,231.2856,1,1.4826,0,0,NA,NA,NA,NA,12.95,7.48713,93,59.304,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,NA,NA,NA,NA,NA
"Justice Hill","BAL","RB","14086","robust",NA,NA,NA,NA,NA,NA,51.85,7.413,243,32.6172,2,0.88956,0,0,0,NA,0,NA,29,1.4826,240.5,50.4084,1.5,0.44478,190,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-11-14,NA,NA,NA,NA
"Emmett Johnson","KC","RB","17474","robust",NA,NA,NA,NA,NA,NA,49,28.1694,205,117.1254,1,0,0,0,0,NA,0,NA,10,2.9652,74,22.239,0,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-10,NA,NA,NA,NA
"MarShawn Lloyd","GB","RB","16604","robust",NA,NA,NA,NA,NA,NA,53.5,14.826,225,48.9258,1.5,0,0,0,0,NA,0,NA,7.1,4.4478,48.5,40.0302,0,0,165,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-01-05,NA,NA,NA,NA
"Ray Davis","BUF","RB","16603","robust",NA,NA,NA,NA,NA,NA,62.1,2.2239,281.75,5.1891,1.525,0.66717,0,0,0,NA,0,NA,13.3,3.85476,115,56.3388,0.6,0.7413,1769,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1999-11-20,NA,NA,NA,NA
"Trey Benson","ARI","RB","16594","robust",NA,NA,NA,NA,NA,NA,42,25.2042,206.75,90.4386,0.25,0,0,0,0,NA,0,NA,9.25,1.4826,52.75,32.6172,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-07-23,NA,NA,NA,NA
"Dylan Sampson","CLE","RB","17047","robust",NA,NA,NA,NA,NA,NA,61.75,11.1195,237,26.6868,1,1.4826,1.6,0,0,NA,0,NA,33,3.55824,261.5,47.4432,2,0.88956,254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2004-09-14,NA,NA,NA,NA
"DJ Giddens","IND","RB","17060","robust",NA,NA,NA,NA,NA,NA,40.75,8.45082,161.25,37.065,1,0.51891,0,0,0,NA,0,NA,9.15,1.4826,55.5,16.3086,0,0,262,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-08-26,NA,NA,NA,NA
"Michael Carter","TEN","RB","15258","robust",NA,NA,NA,NA,NA,NA,58.6,26.09376,219,84.5082,0.5,0.7413,0,0,NA,NA,NA,NA,22.35,10.89711,174.5,98.5929,0,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-05-07,NA,NA,NA,NA
"Demond Claiborne","MIN","RB","17481","robust",NA,NA,NA,NA,NA,NA,35.3,9.34038,133,34.0998,1,0,0.35,0,0,NA,0,NA,5,1.4826,30,2.9652,0,0,127,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-09,NA,NA,NA,NA
"Austin Ekeler","FA","RB","13404","robust",NA,NA,NA,NA,NA,NA,48.5,20.0151,210.5,89.6973,1.5,0.7413,0,0,NA,NA,NA,NA,11.5,8.1543,98,51.891,0.5,0.7413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Davis","NYJ","RB","16752","robust",NA,NA,NA,NA,NA,NA,37.5,3.85476,188,40.0302,1,0,0,0,0,NA,0,NA,13.8,1.4826,107,26.6868,0,0,216,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-02-21,NA,NA,NA,NA
"Jaydon Blue","DAL","RB","17069","robust",NA,NA,NA,NA,NA,NA,58.9,7.11648,227.75,12.6021,1.075,0.0741300000000001,0,0,0,NA,0,NA,8.425,2.2239,59,9.6369,0,0,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2004-01-08,NA,NA,NA,NA
"Ollie Gordon","MIA","RB","17059","robust",NA,NA,NA,NA,NA,NA,49,2.2239,192.75,42.2541,1.675,0.66717,0.6,0,0,NA,0,NA,7.25,2.2239,40.75,12.6021,0,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2004-01-15,NA,NA,NA,NA
"Jaleel McLaughlin","DEN","RB","16390","robust",NA,NA,NA,NA,NA,NA,51.45,2.14977,227.5,20.0151,1.3,0.44478,0,0,NA,NA,NA,NA,10.1,4.29954,50.5,33.3585,0,0,59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-09-13,NA,NA,NA,NA
"Devin Neal","NO","RB","17046","robust",NA,NA,NA,NA,NA,NA,48.4,5.04084,184,63.7518,1.225,0.14826,0,0,0,NA,0,NA,11.1,6.37518,77,17.7912,0,0,132,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-08-12,NA,NA,NA,NA
"Jerome Ford","WAS","RB","15713","robust",NA,NA,NA,NA,NA,NA,33.625,29.652,159,50.4084,1,1.4826,0,0,0,NA,0,NA,14.8,5.33736,79.75,2.9652,0,0,158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-09-12,NA,NA,NA,NA
"Ty Johnson","BUF","RB","14095","robust",NA,NA,NA,NA,NA,NA,49.75,1.4826,211.5,11.8608,2,0,0,0,0,NA,0,NA,24,2.9652,241.5,44.478,2,0,281,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-09-17,NA,NA,NA,NA
"Zonovan Knight","ARI","RB","15727","robust",NA,NA,NA,NA,NA,NA,62,NA,219,0,1,0,NA,NA,NA,NA,NA,NA,13,0,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2001-04-11,NA,NA,NA,NA
"Ty Chandler","NO","RB","15723","robust",NA,NA,NA,NA,NA,NA,40.175,5.9304,125.25,117.1254,0.75,0,0,0,0,NA,0,NA,9.2,0,51,40.0302,0.25,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-05-12,NA,NA,NA,NA
"Raheim Sanders","CLE","RB","17062","robust",NA,NA,NA,NA,NA,NA,44.15,15.04839,162,45.9606,0.85,0.22239,0,0,NA,NA,NA,NA,6.2,3.26172,37,16.3086,0,0,171,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-06-08,NA,NA,NA,NA
